sample_id,seam,location,moisture_pct,ash_pct,volatile_matter_pct,fixed_carbon_pct,carbon_pct,hydrogen_pct,oxygen_pct,nitrogen_pct,sulphur_pct,lab_gcv_kcal_kg,notes
IUP-2024-001,Seam B,Kalimantan Timur,12.5,6.2,38.4,42.9,67.2,4.8,14.3,1.1,0.5,5850,Sub-bituminous export quality
IUP-2024-002,Seam B,Kalimantan Timur,11.8,5.9,39.1,43.2,68.5,4.9,13.8,1.0,0.6,5940,High run-of-mine sample
IUP-2024-003,Seam C,Kalimantan Selatan,18.2,8.4,35.6,37.8,62.1,4.4,16.8,1.2,0.4,5320,Washed product
IUP-2024-004,Seam C,Kalimantan Selatan,19.5,9.1,34.8,36.6,60.8,4.2,17.5,1.1,0.3,5180,Run-of-mine reject band
IUP-2024-005,Seam A,Berau Block,8.3,4.1,42.5,45.1,72.4,5.1,11.2,0.9,0.8,6420,Premium export HV-A bituminous
IUP-2024-006,Seam A,Berau Block,7.9,3.8,43.2,45.1,73.1,5.2,10.8,0.8,0.7,6510,High-calorific shipment lot
IUP-2024-007,Seam D,South Sumatra,28.4,12.3,31.2,28.1,52.3,3.8,22.1,1.4,0.3,4210,Lignite - domestic power market
IUP-2024-008,Seam D,South Sumatra,26.1,11.8,32.0,30.1,54.1,4.0,21.0,1.3,0.4,4380,Slightly better lignite band
IUP-2024-009,Seam E,Papua,5.2,2.9,18.3,73.6,84.1,3.9,5.2,0.7,1.2,7810,Semi-anthracite - metallurgical
IUP-2024-010,Blended,Export Jetty,14.8,7.0,37.5,40.7,65.8,4.7,14.8,1.1,0.5,5640,Blended export lot (B+C seam)
